family_key,domains,route_count,versioned_route_count,unversioned_route_count,pair_status,http_methods,dynamic_route_count,primary_candidate_count,auxiliary_candidate_count,current_risks,page_or_component_reference_count,runtime_code_reference_count,test_reference_file_count,script_reference_file_count,documentation_reference_file_count,caller_evidence_types,compatibility_strategy,compatibility_reason,compatibility_window,retirement_gate,rollback_requirement,minimum_observability,migration_now,phase19_eligible,pilot_rank,pilot_selection_tier,route_paths
/api/auth/login,auth,1,0,1,unversioned_only,POST,0,1,0,high,1,0,2,0,8,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/auth/login/route.ts
/api/auth/logout,auth,1,0,1,unversioned_only,POST,0,1,0,high,1,0,2,0,2,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/auth/logout/route.ts
/api/auth/session,auth,1,0,1,unversioned_only,GET,0,1,0,high,2,0,5,0,6,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/auth/session/route.ts
/api/institution/ai-models,institution,1,1,0,versioned_only,GET,0,1,0,low,0,0,1,0,0,external_unknown_possible；test,KEEP_CURRENT,当前为版本化唯一入口，仓库证据不足以证明需要新增非版本化入口或改变现有路径,not_applicable_keep_current,not_applicable,保持当前路径；本阶段无运行时变更,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/v1/institution/ai-models/route.ts
/api/institution/ai-service-usage,institution,1,0,1,unversioned_only,GET,0,1,0,high,0,1,3,0,10,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/ai-service-usage/route.ts
/api/institution/appointments,institution,1,0,1,unversioned_only,GET；PATCH；POST,0,1,0,high,0,1,7,0,14,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/appointments/route.ts
/api/institution/audit-events,institution,1,0,1,unversioned_only,GET,0,1,0,high,0,1,4,0,3,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/audit-events/route.ts
/api/institution/customers,institution,1,0,1,unversioned_only,GET；PATCH；POST,0,1,0,high,0,2,16,0,16,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/customers/route.ts
/api/institution/customers/[customerId]/followup-feedback,institution,1,0,1,unversioned_only,POST,1,1,0,high,0,1,2,0,1,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts
/api/institution/customers/[customerId]/followup-overview,institution,1,0,1,unversioned_only,GET,1,1,0,high,0,1,1,0,1,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,,src/app/api/institution/customers/[customerId]/followup-overview/route.ts
