candidate_id,current_path,candidate_kind,governance_signal,primary_recommended_action,primary_status,marker_key,marker_value,marker_authority,marker_status,route_presence,route_url,family_key,version_class,http_methods,caller_evidence_types,compatibility_strategy,migration_now,source_evidence
primary::src/app/api/auth/login/route.ts,src/app/api/auth/login/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/auth/login,/api/auth/login,unversioned,POST,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/auth/logout/route.ts,src/app/api/auth/logout/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/auth/logout,/api/auth/logout,unversioned,POST,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/auth/session/route.ts,src/app/api/auth/session/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/auth/session,/api/auth/session,unversioned,GET,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/ai-service-usage/route.ts,src/app/api/institution/ai-service-usage/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/ai-service-usage,/api/institution/ai-service-usage,unversioned,GET,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/appointments/route.ts,src/app/api/institution/appointments/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/appointments,/api/institution/appointments,unversioned,GET；PATCH；POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/audit-events/route.ts,src/app/api/institution/audit-events/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/audit-events,/api/institution/audit-events,unversioned,GET,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/followup-feedback,/api/institution/customers/[customerId]/followup-feedback,unversioned,POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/followup-overview/route.ts,src/app/api/institution/customers/[customerId]/followup-overview/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/followup-overview,/api/institution/customers/[customerId]/followup-overview,unversioned,GET,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/followup-timeline,/api/institution/customers/[customerId]/followup-timeline,unversioned,GET,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/timeline/route.ts,src/app/api/institution/customers/[customerId]/timeline/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/timeline,/api/institution/customers/[customerId]/timeline,unversioned,GET,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/treatment-summaries,/api/institution/customers/[customerId]/treatment-summaries,unversioned,POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/[customerId]/wecom-reachout-safety,/api/institution/customers/[customerId]/wecom-reachout-safety,unversioned,GET；POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/import/route.ts,src/app/api/institution/customers/import/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers/import,/api/institution/customers/import,unversioned,POST；PUT,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/customers/route.ts,src/app/api/institution/customers/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/customers,/api/institution/customers,unversioned,GET；PATCH；POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/dashboard-stats/route.ts,src/app/api/institution/dashboard-stats/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/dashboard-stats,/api/institution/dashboard-stats,unversioned,GET,documentation；external_unknown_possible；test,REQUIRE_COMPATIBILITY_ENTRY,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/entitlement-usage/route.ts,src/app/api/institution/entitlement-usage/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/entitlement-usage,/api/institution/entitlement-usage,unversioned,GET,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/follow-up-path-analysis/route.ts,src/app/api/institution/follow-up-path-analysis/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/follow-up-path-analysis,/api/institution/follow-up-path-analysis,unversioned,GET,documentation；external_unknown_possible；page_or_component；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/followup-message-drafts/[draftId]/approve,/api/institution/followup-message-drafts/[draftId]/approve,unversioned,POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/followup-message-drafts/[draftId]/mark-sent,/api/institution/followup-message-drafts/[draftId]/mark-sent,unversioned,POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/followup-message-drafts/[draftId]/reject,/api/institution/followup-message-drafts/[draftId]/reject,unversioned,POST,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
primary::src/app/api/institution/followup-message-drafts/[draftId]/route.ts,src/app/api/institution/followup-message-drafts/[draftId]/route.ts,primary_action,API_VERSION_REVIEW,API_VERSION_REVIEW,pending,,,,,yes,/api/institution/followup-message-drafts/[draftId],/api/institution/followup-message-drafts/[draftId],unversioned,PATCH,documentation；external_unknown_possible；runtime_code；test,REQUIRE_CLIENT_MIGRATION,no,docs/refactor/file-migration-matrix.csv|docs/refactor/phase-12-full-api-route-inventory.csv|docs/refactor/phase-12-full-api-family-summary.csv
