current_path,current_category,recommended_action,recommended_target,risk,phase,manual_review_required,status,notes,phase30_role,phase30_decision
scripts/demo/seed-v06-low-sensitive-demo.ts,scripts,GUARDED_DEMO_SCRIPT_CONFIRMED_KEEP_CURRENT,scripts/demo/seed-v06-low-sensitive-demo.ts,medium,9,yes,script_boundary_confirmed,保持 scripts/demo；后续统一接入核心 Seed Guard，收紧为 loopback、本地目标和人工确认三重条件。,phase30b_seed_guard_fix_allowed,modify_in_dedicated_branch
scripts/demo/seed-v06-low-sensitive-demo.test.ts,tests,OWNERSHIP_CONFIRMED_KEEP_CURRENT,scripts/demo/seed-v06-low-sensitive-demo.test.ts,low,6,no,ownership_confirmed,归属于“演示脚本测试”；继续随所属模块或脚本目录保留。,phase30b_seed_guard_fix_allowed,modify_in_dedicated_branch
src/server/db/seed-guard.ts,other,SEED_SECURITY_GUARD_CONFIRMED_KEEP_CURRENT,src/server/db/seed-guard.ts,high,9,yes,seed_guard_boundary_confirmed,保持数据库安全边界；所有 Demo Seed 写入入口应统一复用该守卫，不得复制更宽松的地址判断。,read_only_contract_evidence,keep_current_no_source_change
src/server/db/tests/SeedGuard.test.ts,tests,OWNERSHIP_CONFIRMED_KEEP_CURRENT,src/server/db/tests/SeedGuard.test.ts,low,6,no,ownership_confirmed,归属于“数据库边界”；继续随所属模块或脚本目录保留。,read_only_contract_evidence,keep_current_no_source_change
src/server/db/seed-demo-data.ts,other,GUARDED_DB_SEED_ENTRY_CONFIRMED_KEEP_CURRENT,src/server/db/seed-demo-data.ts,high,9,yes,seed_entry_boundary_confirmed,保持 src/server/db 数据库边界；禁止与普通 Demo 文件混合移动，后续变更必须独立安全审查。,read_only_contract_evidence,keep_current_no_source_change
src/modules/auth/tests/DemoAuthRoutes.test.ts,business-module,OWNERSHIP_CONFIRMED_KEEP_CURRENT,src/modules/auth/tests/DemoAuthRoutes.test.ts,low,6,no,ownership_confirmed,归属于“认证模块”；继续随所属模块或脚本目录保留。,phase30c_auth_test_fix_allowed,modify_in_dedicated_branch
src/modules/auth/tests/FormalAuthRoutes.test.ts,business-module,KEEP_WITH_MODULE,src/modules/auth/tests/FormalAuthRoutes.test.ts,medium,2-8,yes,pending,优先保持模块内测试共置。,read_only_contract_evidence,keep_current_no_source_change
src/modules/auth/server/demo-session.ts,business-module,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,src/modules/auth/server/demo-session.ts,high,8,yes,runtime_boundary_confirmed,保持认证服务位置；后续替换必须单独设计认证、权限、租户隔离和回退方案。,read_only_contract_evidence,keep_current_no_source_change
src/app/api/auth/login/route.ts,api-route,API_VERSION_REVIEW,src/app/api/v1/<scope>/,high,9,yes,pending,非版本化 API，先检查调用方和兼容方案。,read_only_contract_evidence,keep_current_no_source_change
src/app/api/auth/logout/route.ts,api-route,API_VERSION_REVIEW,src/app/api/v1/<scope>/,high,9,yes,pending,非版本化 API，先检查调用方和兼容方案。,read_only_contract_evidence,keep_current_no_source_change
src/app/api/auth/session/route.ts,api-route,API_VERSION_REVIEW,src/app/api/v1/<scope>/,high,9,yes,pending,非版本化 API，先检查调用方和兼容方案。,read_only_contract_evidence,keep_current_no_source_change
