path,module,responsibility_group,execution_role,boundary_class,activation_mode,framework_entry,phase5_runtime_reachable,evidence_status,runtime_value_import_count,runtime_type_import_count,test_value_import_count,test_type_import_count,candidate_value_import_count,candidate_type_import_count,outbound_candidate_value_count,outbound_candidate_type_count,current_location_confirmed,move_now,risk,manual_review_required,boundary_status,recommended_action,recommendation,conclusion,runtime_value_importers,runtime_type_importers,test_value_importers,test_type_importers,candidate_value_importers,candidate_type_importers,outbound_candidate_value_dependencies,outbound_candidate_type_dependencies
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,institution,API,企业微信客户联系能力关闭 API 入口,framework_api_entry_boundary,framework_route_entry,yes,yes,framework_entry_confirmed,0,0,1,0,0,0,0,0,yes,no,high,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持 API 路由位置；后续启用真实能力时重新设计认证、权限、配置开关和只读访问边界。,属于 Next.js 运行时 API 路由；当前固定返回能力关闭响应，不再调用领域 Mock。,,,src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts,,,,,
src/app/api/v1/knowledge-base/demo-readonly/route.ts,knowledge-base,API,知识库 Demo 只读 API 运行时入口,framework_api_entry_boundary,framework_route_entry,yes,yes,framework_entry_confirmed,0,0,1,0,0,0,2,0,yes,no,high,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持 API 路由位置；后续真实运行时替换需单独设计兼容、停用和回退策略。,属于 Next.js 运行时 API 路由，并连接知识库 Demo 领域链。,,,src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiRoute.test.ts,,,,src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-api-contract.ts；src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-facade.ts,
src/modules/auth/components/DemoSessionGate.tsx,auth,认证,客户端 Demo 会话访问守卫,runtime_auth_component_boundary,runtime_component_import,no,yes,runtime_dependency_confirmed,1,0,0,0,0,0,0,0,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持认证组件边界；后续必须与正式 Session、租户和权限策略联合治理。,属于认证运行时组件，不是展示用 Fixture。,src/app/open-platform/page.tsx,,,,,,,
src/modules/auth/server/demo-session.ts,auth,认证,服务端 Demo 会话认证服务,runtime_auth_session_boundary,runtime_auth_service_import,no,yes,runtime_dependency_confirmed,5,0,7,0,0,0,0,0,yes,no,high,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持认证服务位置；后续替换必须单独设计认证、权限、租户隔离和回退方案。,属于服务端认证运行时边界，直接影响登录、会话和租户上下文。,src/app/api/auth/login/route.ts；src/app/api/auth/logout/route.ts；src/app/api/auth/session/route.ts；src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/handler.ts；src/modules/security/server/access-context.ts,,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts；src/modules/institution/tests/DashboardStatsLegacyApiRoute.test.ts；src/modules/institution/tests/WeComCustomerMappingReadWriteBridge.test.ts；src/modules/institution/tests/WeComCustomerMappingReviewActionsApiRoute.test.ts；src/modules/security/tests/AccessContext.test.ts；src/server/db/tests/Schema.test.ts,,,,,
src/modules/institution/domain/wecom-customer-contact-readonly-proof-mock.ts,institution,领域,企业微信只读证明休眠领域 Mock,dormant_domain_mock_fixture_boundary,test_only_dormant_domain_fixture,no,yes,runtime_reachability_reclassified,0,0,1,0,0,0,0,0,yes,no,medium,yes,dormant_domain_mock_confirmed_keep_current,DORMANT_DOMAIN_MOCK_CONFIRMED_KEEP_CURRENT,暂时保持机构领域位置；后续单独评估删除、归档或迁入测试 Fixture，本阶段不直接移动。,当前 Mock API 路由已改为固定能力关闭响应；本文件仅剩测试值调用，第五阶段运行时可达标记已经过时。,,,src/modules/institution/tests/WeComCustomerContactReadonlyProofMockDomain.test.ts,,,,,
src/modules/institution/domain/wecom-reachout-mock.ts,institution,领域,企业微信触达受控 Mock 领域数据,runtime_domain_mock_boundary,runtime_shared_mock_dependency,no,yes,runtime_dependency_confirmed,5,1,2,0,0,0,0,0,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持机构领域位置；后续先拆分领域类型、样例数据和真实渠道 Provider。,被机构端运行时组件、领域和服务直接依赖，不是纯测试数据。,src/modules/institution/components/SmartFollowUpShell.tsx；src/modules/institution/domain/followup-message-deliveries.ts；src/modules/institution/domain/followup-operations-dashboard.ts；src/modules/institution/server/followup-customer-timeline-service.ts；src/modules/institution/server/tenant-business-repository.ts,src/modules/institution/domain/followup-operations-dashboard.ts,src/modules/institution/tests/CareMutationAccessibility.test.tsx；src/modules/institution/tests/InstitutionBusinessShells.test.tsx,,,,,
src/modules/institution/server/wecom-customer-broadcast-task-mock-provider.ts,institution,服务,企业微信群发任务显式注入 Mock Adapter,explicit_injection_mock_service_boundary,explicit_service_injection,no,yes,explicit_injection_confirmed,0,0,2,0,0,0,0,0,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持服务目录；禁止注册为默认真实发送 Provider，后续与 Provider 契约联合治理。,当前用于测试或显式服务注入，不是默认生产 Provider，但仍属于服务契约实现。,,,src/modules/institution/tests/WeComCustomerBroadcastTaskProvider.test.ts；src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,,,,,
src/modules/institution/server/wecom-customer-mapping-review-action-mock-runtime.ts,institution,服务,企业微信客户映射审核进程内 Mock Runtime,runtime_mock_service_boundary,runtime_default_mock_service,no,yes,runtime_dependency_confirmed,1,3,2,0,0,0,0,0,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持服务目录；后续持久化替换需保留幂等、审计、容量和故障关闭语义。,被候选读取、审核动作 API 和默认运行时服务直接依赖。,src/modules/institution/server/wecom-customer-mapping-review-action-default-runtime.ts,src/app/api/institution/wecom/customer-mapping-candidates/handler.ts；src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/handler.ts；src/modules/institution/server/wecom-customer-mapping-candidates-reader.ts,src/modules/institution/tests/WeComCustomerMappingCandidatesApiRoute.test.ts；src/modules/institution/tests/WeComCustomerMappingReviewActionsApiRoute.test.ts,,,,,
src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-api-contract.ts,knowledge-base,领域,知识库 Demo 只读 API 契约,runtime_demo_domain_boundary,runtime_demo_contract_chain,no,yes,runtime_dependency_confirmed,0,1,2,0,1,0,0,1,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持知识库领域位置；后续将通用 API 契约与 Demo 默认数据解耦。,连接运行时 API、工作台和 Demo Facade，属于运行时领域契约。,,src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiContract.test.ts；src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiRoute.test.ts,,src/app/api/v1/knowledge-base/demo-readonly/route.ts,,,src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-facade.ts
src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-facade.ts,knowledge-base,领域,知识库 Demo 只读 Facade,runtime_demo_domain_boundary,runtime_demo_facade_chain,no,yes,runtime_dependency_confirmed,0,0,2,0,1,1,1,0,yes,no,medium,yes,runtime_boundary_confirmed_keep_current,RUNTIME_BOUNDARY_CONFIRMED_KEEP_CURRENT,保持知识库领域位置；使用真实只读 Repository 替换时保持响应契约兼容。,连接运行时 API 契约和 Demo 数据源契约，属于运行时领域编排。,,,src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiContract.test.ts；src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyFacade.test.ts,,src/app/api/v1/knowledge-base/demo-readonly/route.ts,src/modules/knowledge-base/domain/v1-knowledge-base-demo-readonly-api-contract.ts,src/modules/knowledge-base/domain/v1-knowledge-base-demo-source-contract.ts,
